area	subArea
SOUTH	SOUTH: 018-PAR0502 E-8601A-B-C & V-8601
SOUTH	SOUTH: 019-PAR0502 P-8623-A-B-C
GB-102	GB-102: 004-BF EAST SUMP PIT P-8709A
GB-102	GB-102: 011-BF MID.SUMP PIT P-8709B
GB-102	GB-102: 014-BF WEST SUMP PIT P-8709C
NORTH-B	NORTH-B: 004-SSB EAST-SUMP-PIT-3 P-8711A
NORTH-B	NORTH-B: 021-SSB WEST-SUMP PIT-3 P-8711B
NORTH-B	NORTH-B: 003-SSB EAST-SUMP-PIT-2 P-8714I
NORTH-A	NORTH-A: 057-PAR0101 WEST SUMP PIT P-8714F
NORTH-B	NORTH-B: 031-PAR0213 SUMP PIT P-8714G
NORTH-B	NORTH-B: 020-SSB WEST-SUMP PIT-2 P-8714H
NORTH-B	NORTH-B: 002-SSB EAST-SUMP PIT-1 P-8714A
NORTH-B	NORTH-B: 019-SSB WEST-SUMP PIT-1 P-8714B
NORTH-B	NORTH-B: 022-SSB WEST-SUMP PIT-4 P-8714C
NORTH-B	NORTH-B: 005-SSB EAST-SUMP-PIT-4 P-8714D
NORTH-B	NORTH-B: 027-PAR0211 SUMP PIT P-8714E
NORTH-A	NORTH-A: 089-PAR0208 SUMP PIT P-8715A
NORTH-A	NORTH-A: 080-PAR0205 SUMP PIT P-8715B
NORTH-A	NORTH-A: 022-GRANULATOR UNIT D EAST SUMP PIT P-8716A
NORTH-A	NORTH-A: 067-PAR0201 EAST SUMP PIT P-8716B
NORTH-A	NORTH-A: 060-PAR0102 EAST SUMP PIT P-8716C
NORTH-A	NORTH-A: 039-GRANULATOR UNIT G SUMP PIT P-8710A
NORTH-A	NORTH-A: 034-GRANULATOR UNIT F SUMP PIT P-8710B
NORTH-A	NORTH-A: 050-GRANULATOR WEST SUMP PIT P-8713A
NORTH-A	NORTH-A: 096-WASH BASIN SOUTH SUMP PIT P-8717
NORTH-A	NORTH-A: 031-GRANULATOR UNIT F EAST SUMP PIT P-8713B
SLC	SLC: 011-SLC SUMP PIT P-8712A (EAST)
SLC	SLC: 012-SLC SUMP PIT P-8712B (WEST)
SOUTH	SOUTH: 041-PAR0602 Y-8704 ACID INJC. PACKAGE
NORTH-A	NORTH-A: 098-WASH BASIN WEST 12-Y-8701
NORTH-A	NORTH-A: 097-WASH BASIN WEST 12-T-8716 LINES
NORTH-A	NORTH-A: 099-WASH BASIN WEST 12-Y-8702
NORTH-A	NORTH-A: 100-WASH BASIN WEST 12-Y-8703
SOUTH	SOUTH: 002-EDG-1211 Around (WEST AREA)
NORTH-A	NORTH-A: 065-PAR0201 12-XH-9225
SOUTH	SOUTH: 036-PAR0601 V-9201 & P-9222A-B
SOUTH	SOUTH: 044-PAR0603 Y-9401 ,Y-9403 , Y-9406
SOUTH	SOUTH: 043-PAR0603 V-9501-A-B
SOUTH	SOUTH: 038-PAR0602 B-9201-A-B
NORTH-A	NORTH-A: 062-PAR0201 12-B-9202-A-B
SOUTH	SOUTH: 014-PAR0501
WISON	WISON: CORRIDOR
NORTH-B	NORTH-B: 024-PAR0211
NORTH-A	NORTH-A: 069-PAR0202
SOUTH	SOUTH: 016-PAR0502
NORTH-A	NORTH-A: 061-PAR0201
NORTH-A	NORTH-A: 072-PAR0203
NORTH-A	NORTH-A: 074-PAR0204
NORTH-A	NORTH-A: 078-PAR0205
NORTH-A	NORTH-A: 081-PAR0206
NORTH-A	NORTH-A: 083-PAR0207
NORTH-A	NORTH-A: 087-PAR0208
NORTH-A	NORTH-A: 090-PAR0209
NORTH-A	NORTH-A: 092-PAR0210
NORTH-B	NORTH-B: 028-PAR0212
NORTH-B	NORTH-B: 030-PAR0213
SOUTH	SOUTH: 020-PAR0503
SOUTH	SOUTH: 023-PAR0504
SOUTH	SOUTH: 030-PAR0505
SOUTH	SOUTH: 035-PAR0601
SOUTH	SOUTH: 037-PAR0602
GB-102	GB-102: 012-BF ROW-05 SOUTH 7 TIE-IN LINES
GB-102	GB-102: 013-BF ROW-05 TIE-IN DROP LINES
SLC	SLC: 017-SLC-MODULE-D
SLC	SLC: 016-SLC-MODULE-C
SLC	SLC: 015-SLC-MODULE-B
SLC	SLC: 005-SLC ROW-01 (DELUGE RISERS)
SLC	SLC: 003-SLC PIPE RACK
SLC	SLC: 004-SLC PIPE RACK TO SLC AREA
SLC	SLC: 013-SLC-12-P-8632-A-B
SLC	SLC: 018-SLC-MODULE-E
SLC	SLC: 006-SLC ROW-02
SLC	SLC: 001-SLC 12-P-8633-A-B (SLC-NEXT TO THE FENCE)
SLC	SLC: 014-SLC-MODULE-A
NORTH-A	NORTH-A: GENERAL-North
NORTH-B	NORTH-B: 016-SSB TOWER-5 AROUND LINES
NORTH-A	NORTH-A: 051-PAR0101
NORTH-A	NORTH-A: 058-PAR0102
NORTH-A	NORTH-A: 055-PAR0101 12-Y-8601; 12-Y-8602
NORTH-A	NORTH-A: 054-PAR0101 12-XH-9226
NORTH-B	NORTH-B: 015-SSB SOUTH SIDE LINES
NORTH-B	NORTH-B: 001-SSB EAST SIDE LINES
NORTH-A	NORTH-A: 070-PAR0202 SOUTH CHEMICAL STATION
NORTH-B	NORTH-B: 017-SSB TOWER-5 TO 6 CONVEYOR AROUND LINES
NORTH-B	NORTH-B: 011-SSB MIDDLE TOP CONVEYOR WITH DROP LINES
SOUTH	SOUTH: 017-PAR0502 DROP LINES
NORTH-B	NORTH-B: 023-SSB SOUTH TT-02
NORTH-A	NORTH-A: 101-WASH BASIN WEST  LINES
NORTH-A	NORTH-A: 095-WASH BASIN SOUTH LINES
SOUTH	SOUTH: 042-PAR0603
SOUTH	SOUTH: 049-T-9402 AND P-9402-A-B
NORTH-A	NORTH-A: 066-PAR0201 12-Y-9404; Y-9405
SOUTH	SOUTH: 046-PAR0603 Y-9501A-B, Y-9502A-B AIR COMP. & AIR DRYER
SOUTH	SOUTH: 001-EDG Area UG Metalic (WEST AREA)
SLC	SLC: 002-SLC DELUGE-10
SLC	SLC: 019-SLC-MODULE-F
NORTH-B	NORTH-B: 014-SSB NORTH SIDE LINES
NORTH-B	NORTH-B: 018-SSB WEST SIDE LINES
NORTH-A	NORTH-A: 086-PAR0207 NORTH DELUGE-2
NORTH-A	NORTH-A: 085-PAR0207 CONVEYOR DROP LINES
NORTH-A	NORTH-A: 093-PAR0210 WEST DELUGE-1
NORTH-B	NORTH-B: 026-PAR0211 CONVEYOR DROP LINES
NORTH-B	NORTH-B: 025-PAR0211 CONVEYOR
NORTH-A	NORTH-A: 059-PAR0102 WEST DELUGE-5
NORTH-A	NORTH-A: 073-PAR0203 NORTH DELUGE-4
NORTH-A	NORTH-A: 044-GRANULATOR WEST CONVEYOR N TO S -4
NORTH-A	NORTH-A: 076-PAR0204 NORTH DELUGE-3
NORTH-A	NORTH-A: 071-PAR0202-PAR0203 CONVEYOR
NORTH-A	NORTH-A: 075-PAR0204 CONVEYOR
NORTH-A	NORTH-A: 079-PAR0205 CONVEYOR
NORTH-A	NORTH-A: 082-PAR0206 CONVEYOR
GB-102	GB-102: 001-BF DELUGE-11
GB-102	GB-102: 002-BF DELUGE EAST SIDE RISER LINES
GB-102	GB-102: 006-BF LEVEL-1 FW LINE
NORTH-A	NORTH-A: 002-GRANULATOR DELUGE-7
NORTH-A	NORTH-A: 001-GRANULATOR DELUGE-6
NORTH-A	NORTH-A: 006-GRANULATOR TOP EAST SIDE LINES
NORTH-A	NORTH-A: 019-GRANULATOR UNIT C SCRUBBER;REMELT TANK AROUND
NORTH-A	NORTH-A: 017-GRANULATOR UNIT C DISCHARGE CONVEYOR (SOUTH)
NORTH-A	NORTH-A: 018-GRANULATOR UNIT C RECYCLE CONVEYOR (NORTH)
NORTH-A	NORTH-A: 024-GRANULATOR UNIT D SCRUBBER;REMELT TANK AROUND
NORTH-A	NORTH-A: 021-GRANULATOR UNIT D DISCHARGE CONVEYOR (SOUTH)
NORTH-A	NORTH-A: 023-GRANULATOR UNIT D RECYCLE CONVEYOR (NORTH)
NORTH-A	NORTH-A: 004-GRANULATOR DELUGE-9
NORTH-A	NORTH-A: 028-GRANULATOR UNIT E SCRUBBER;REMELT TANK AROUND
NORTH-A	NORTH-A: 026-GRANULATOR UNIT E DISCHARGE CONVEYOR (SOUTH)
NORTH-A	NORTH-A: 027-GRANULATOR UNIT E RECYCLE CONVEYOR (NORTH)
NORTH-A	NORTH-A: 003-GRANULATOR DELUGE-8
NORTH-A	NORTH-A: 033-GRANULATOR UNIT F SCRUBBER;REMELT TANK AROUND
NORTH-A	NORTH-A: 030-GRANULATOR UNIT F DISCHARGE CONVEYOR (SOUTH)
NORTH-A	NORTH-A: 032-GRANULATOR UNIT F RECYCLE CONVEYOR (NORTH)
NORTH-A	NORTH-A: 038-GRANULATOR UNIT G SCRUBBER;REMELT TANK AROUND
NORTH-A	NORTH-A: 036-GRANULATOR UNIT G DISCHARGE CONVEYOR (SOUTH)
NORTH-A	NORTH-A: 037-GRANULATOR UNIT G RECYCLE CONVEYOR (NORTH)
NORTH-A	NORTH-A: 049-GRANULATOR WEST CONVEYOR TOP HEADER LINES
NORTH-A	NORTH-A: 047-GRANULATOR WEST CONVEYOR TOP HEADER DROP LINES -2
NORTH-A	NORTH-A: 011-GRANULATOR UNIT A SCRUBBER;REMELT TANK AROUND
NORTH-A	NORTH-A: 009-GRANULATOR UNIT A DISCHARGE CONVEYOR (SOUTH)
NORTH-A	NORTH-A: 010-GRANULATOR UNIT A RECYCLE CONVEYOR (NORTH)
NORTH-A	NORTH-A: 015-GRANULATOR UNIT B SCRUBBER;REMELT TANK AROUND
NORTH-A	NORTH-A: 013-GRANULATOR UNIT B DISCHARGE CONVEYOR (SOUTH)
NORTH-A	NORTH-A: 014-GRANULATOR UNIT B RECYCLE CONVEYOR (NORTH)
